Date,Company,Ticker Symbol,Currency,Open,High,Low,Close,Adj Close,Volume
1/1/2000,Sony Interactive Entertainment,SONY,JPY,28.52,29.17,20.85,25.30,14.54,147012000.00
2/1/2000,Sony Interactive Entertainment,SONY,JPY,25.29,31.48,25.00,31.35,18.01,67437000.00
3/1/2000,Sony Interactive Entertainment,SONY,JPY,30.10,31.30,21.70,28.01,16.09,112674000.00
4/1/2000,Sony Interactive Entertainment,SONY,JPY,28.25,28.25,22.31,22.56,12.97,74071000.00
5/1/2000,Sony Interactive Entertainment,SONY,JPY,22.70,23.48,17.75,18.24,10.49,65035500.00
6/1/2000,Sony Interactive Entertainment,SONY,JPY,18.20,20.99,17.80,18.86,10.85,47946500.00
7/1/2000,Sony Interactive Entertainment,SONY,JPY,19.49,21.09,18.09,18.79,10.80,29562000.00
8/1/2000,Sony Interactive Entertainment,SONY,JPY,18.50,23.10,18.11,22.85,13.14,31862500.00
9/1/2000,Sony Interactive Entertainment,SONY,JPY,22.90,23.26,18.81,20.19,11.61,40809500.00
10/1/2000,Sony Interactive Entertainment,SONY,JPY,20.19,20.19,16.23,16.60,9.60,45099500.00
11/1/2000,Sony Interactive Entertainment,SONY,JPY,16.85,17.71,14.41,14.90,8.61,41265000.00
12/1/2000,Sony Interactive Entertainment,SONY,JPY,15.00,16.39,13.40,13.90,8.04,35456500.00
1/1/2001,Sony Interactive Entertainment,SONY,JPY,13.85,15.68,13.48,14.71,8.50,43559000.00
2/1/2001,Sony Interactive Entertainment,SONY,JPY,14.68,14.84,13.85,14.30,8.27,28254000.00
3/1/2001,Sony Interactive Entertainment,SONY,JPY,14.01,15.52,13.08,14.45,8.35,41838500.00
4/1/2001,Sony Interactive Entertainment,SONY,JPY,14.00,15.60,13.48,15.33,8.92,35803500.00
5/1/2001,Sony Interactive Entertainment,SONY,JPY,15.40,17.15,15.30,15.62,9.09,44795500.00
6/1/2001,Sony Interactive Entertainment,SONY,JPY,15.62,15.92,13.03,13.16,7.66,173167500.00
7/1/2001,Sony Interactive Entertainment,SONY,JPY,13.18,13.20,9.25,9.90,5.77,59644000.00
8/1/2001,Sony Interactive Entertainment,SONY,JPY,9.98,10.54,8.90,8.98,5.23,33675500.00
9/1/2001,Sony Interactive Entertainment,SONY,JPY,8.80,8.94,6.60,6.64,3.87,44302000.00
10/1/2001,Sony Interactive Entertainment,SONY,JPY,6.74,8.50,6.56,7.64,4.51,55415500.00
11/1/2001,Sony Interactive Entertainment,SONY,JPY,7.66,9.77,7.58,9.54,5.63,45034000.00
12/1/2001,Sony Interactive Entertainment,SONY,JPY,9.24,10.05,8.63,9.02,5.32,36192000.00
1/1/2002,Sony Interactive Entertainment,SONY,JPY,9.07,9.94,8.55,8.95,5.28,41855500.00
2/1/2002,Sony Interactive Entertainment,SONY,JPY,8.70,9.57,8.12,9.24,5.45,25115500.00
3/1/2002,Sony Interactive Entertainment,SONY,JPY,9.44,11.42,9.43,10.34,6.10,37968000.00
4/1/2002,Sony Interactive Entertainment,SONY,JPY,10.10,11.29,10.05,10.84,6.43,27620000.00
5/1/2002,Sony Interactive Entertainment,SONY,JPY,10.77,11.99,10.53,11.62,6.89,36989500.00
6/1/2002,Sony Interactive Entertainment,SONY,JPY,11.50,11.60,9.58,10.62,6.30,31785500.00
7/1/2002,Sony Interactive Entertainment,SONY,JPY,10.42,10.70,8.76,9.07,5.38,44375500.00
8/1/2002,Sony Interactive Entertainment,SONY,JPY,8.95,9.29,8.40,8.70,5.16,33451500.00
9/1/2002,Sony Interactive Entertainment,SONY,JPY,8.46,9.04,8.04,8.22,4.88,34637500.00
10/1/2002,Sony Interactive Entertainment,SONY,JPY,8.32,9.17,7.96,8.65,5.20,43175500.00
11/1/2002,Sony Interactive Entertainment,SONY,JPY,8.68,9.16,8.10,8.87,5.33,39140000.00
12/1/2002,Sony Interactive Entertainment,SONY,JPY,8.98,9.01,8.18,8.26,4.97,33656500.00
1/1/2003,Sony Interactive Entertainment,SONY,JPY,8.28,8.68,7.87,7.99,4.80,30685000.00
2/1/2003,Sony Interactive Entertainment,SONY,JPY,7.99,8.03,7.53,7.59,4.56,24017500.00
3/1/2003,Sony Interactive Entertainment,SONY,JPY,7.63,7.66,6.97,7.03,4.22,37957000.00
4/1/2003,Sony Interactive Entertainment,SONY,JPY,7.00,7.16,4.63,4.95,3.02,223438000.00
5/1/2003,Sony Interactive Entertainment,SONY,JPY,4.87,5.49,4.80,5.47,3.33,273633500.00
6/1/2003,Sony Interactive Entertainment,SONY,JPY,5.60,6.00,5.52,5.60,3.41,192405500.00
7/1/2003,Sony Interactive Entertainment,SONY,JPY,5.68,6.88,5.67,6.24,3.80,199654500.00
8/1/2003,Sony Interactive Entertainment,SONY,JPY,6.24,6.68,5.88,6.59,4.02,95815500.00
9/1/2003,Sony Interactive Entertainment,SONY,JPY,6.74,7.66,6.69,6.96,4.24,133702500.00
10/1/2003,Sony Interactive Entertainment,SONY,JPY,6.97,7.61,6.79,7.04,4.31,134401500.00
11/1/2003,Sony Interactive Entertainment,SONY,JPY,7.14,7.41,6.73,6.87,4.20,77167000.00
12/1/2003,Sony Interactive Entertainment,SONY,JPY,6.80,6.98,6.48,6.93,4.24,87112500.00
1/1/2004,Sony Interactive Entertainment,SONY,JPY,6.98,8.40,6.96,8.13,4.97,101987500.00
2/1/2004,Sony Interactive Entertainment,SONY,JPY,8.06,8.56,7.90,8.19,5.01,57577500.00
3/1/2004,Sony Interactive Entertainment,SONY,JPY,8.35,8.43,7.66,8.36,5.11,65308500.00
4/1/2004,Sony Interactive Entertainment,SONY,JPY,8.25,8.73,7.63,7.68,4.71,61321000.00
